07-04-18,4B,AGG. ASSAULT,O,KNIFE,143.0,CENTRAL,Seton Hill,-76.62187,39.29837,STREET,1.0
07-04-18,4D,AGG. ASSAULT,O,HANDS,842.0,SOUTHWESTERN,Shipley Hill,-76.65671,39.28775,STREET,1.0
07-04-18,4C,AGG. ASSAULT,I,OTHER,514.0,NORTHERN,Barclay,-76.61392,39.31266,OTHER - IN,1.0
07-04-18,3AK,ROBBERY - STREET,O,KNIFE,432.0,NORTHEASTERN,Belair-Edison,-76.57261,39.32243,STREET,1.0
07-04-18,4A,AGG. ASSAULT,I,FIREARM,424.0,NORTHEASTERN,Westfield,-76.55634,39.36365,UNKNOWN,1.0
07-04-18,3GF,ROBBERY - COMMERCIAL,I,FIREARM,433.0,NORTHEASTERN,Armistead Gardens,-76.56099,39.30815,CONVENIENC,1.0
07-04-18,4A,AGG. ASSAULT,I,FIREARM,433.0,NORTHEASTERN,Armistead Gardens,-76.56099,39.30815,CONVENIENC,1.0
07-04-18,4D,AGG. ASSAULT,I,HANDS,241.0,SOUTHEASTERN,Bayview,-76.54375,39.287929999999996,ROW/TOWNHO,1.0
07-04-18,3AF,ROBBERY - STREET,O,FIREARM,426.0,NORTHEASTERN,Waltherson,-76.56331999999999,39.35011,STREET,1.0
07-04-18,3AF,ROBBERY - STREET,O,FIREARM,415.0,NORTHEASTERN,Loch Raven,-76.58585,39.36205,STREET,1.0
07-03-18,4C,AGG. ASSAULT,I,OTHER,212.0,SOUTHEASTERN,Dunbar-Broadway,-76.59957,39.292590000000004,RETAIL/SMA,1.0
07-03-18,4A,AGG. ASSAULT,O,FIREARM,111.0,CENTRAL,Downtown,-76.6135,39.29254,STREET,1.0
07-03-18,4B,AGG. ASSAULT,I,KNIFE,212.0,SOUTHEASTERN,Upper Fells Point,-76.58797,39.289429999999996,ROW/TOWNHO,1.0
07-03-18,4C,AGG. ASSAULT,I,OTHER,613.0,NORTHWESTERN,Central Park Heights,-76.67699,39.34194,ROW/TOWNHO,1.0
07-03-18,4B,AGG. ASSAULT,I,KNIFE,921.0,SOUTHERN,Westport,-76.64148,39.261540000000004,ROW/TOWNHO,1.0
07-03-18,4A,AGG. ASSAULT,O,FIREARM,912.0,SOUTHERN,Brooklyn,-76.61017,39.23874,STREET,1.0
07-03-18,3AF,ROBBERY - STREET,I,FIREARM,931.0,WESTERN,Hollins Market,-76.6376,39.28855,LIQUOR STO,1.0
